Name,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
Calvin Harris,0.6730178571428574,0.7069384821428571,0.7069384821428571,0.0564875,0.16542639196428569,0.27797795544642856,0.22540267857142857,0.614130357142857,117.00833035714277
Daddy Yankee,0.7501200000000001,0.8100228571428576,0.8100228571428576,0.14792171428571427,0.139176,0.0017637340000000003,0.21593314285714277,0.7231028571428569,116.56756
Rihanna,0.6129120879120881,0.6779450549450546,0.6779450549450546,0.08213809523809526,0.1506980293040292,0.011347290439560445,0.19242930402930383,0.4908468864468865,121.6835384615384
Bruno Mars,0.6601951219512195,0.6629024390243902,0.6629024390243902,0.048753658536585365,0.269339268292683,5.787317073170731e-06,0.1589439024390244,0.5910000000000001,123.99663414634149
Coldplay,0.39249612403100775,0.611075968992248,0.611075968992248,0.04072558139534885,0.2118452403100775,0.2280610557364342,0.31073410852713174,0.23060852713178293,122.83882945736426
Sia,0.5249558232931726,0.5903912851405618,0.5903912851405618,0.0648385542168675,0.23456110642570294,0.1475783034538153,0.18989036144578297,0.38882771084337375,126.21283935742963
The Chainsmokers,0.5972272727272727,0.6274090909090908,0.6274090909090908,0.04569999999999999,0.09805904545454548,0.0009519345454545454,0.19773636363636368,0.3343500000000001,121.19899999999998
Demi Lovato,0.5459077669902914,0.659645631067961,0.659645631067961,0.12351067961165038,0.21364508252427175,0.0002714968446601942,0.18512815533980584,0.47125339805825245,126.14278155339814
Nicki Minaj,0.7079325301204813,0.6794216867469886,0.6794216867469886,0.17685108433734942,0.19165448433734944,0.01110111219277108,0.18919542168674683,0.4495869879518073,125.6727108433734
Future,0.726975088967971,0.5568978647686834,0.5568978647686834,0.2438491103202846,0.19587215302491096,0.03225896604982207,0.21138149466192188,0.3880352313167258,128.81140925266902
Sam Smith,0.5424590163934424,0.40506557377049185,0.40506557377049185,0.05457377049180327,0.6001688524590164,0.0002069477049180328,0.16009508196721306,0.31764590163934436,108.7028360655738
Maluma,0.6996206896551724,0.7518793103448277,0.7518793103448277,0.11834827586206896,0.31388603448275854,3.254e-05,0.19291896551724144,0.7300344827586204,122.40696551724137
